sshleifer/distilbart-cnn-12-6,mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization,microsoft/prophetnet-large-uncased-cnndm,t5-small,facebook/bart-large-cnn,google/pegasus-cnn_dailymail
"Yes, the summary is non-redundant with the corresponding article. It includes new information about Daniel Radcliffe turning 18 and gaining access to his fortune, as well as his statement about not wasting his money on extravagant things. It also mentions that his earnings from the Potter films have been held in a trust fund, which is not mentioned in the article.","Yes

Reasoning:
- The summary mentions that Daniel Radcliffe has no plans to spend his money on fast cars, drink, and celebrity parties, which is stated in the article.
- The summary states that Radcliffe's earnings from the first five Potter films have been held in a trust fund, which is also mentioned in the article.
- The summary mentions that Radcliffe will reprise his role in the last two films, which is stated in the article.
- The summary states that Radcliffe will appear in ""Harry Potter and the Order of the Phoenix,"" which is also mentioned in the article.","No, the summary is not non-redundant with the article. The summary sentence repeats the information from the article that Daniel Radcliffe gains access to a reported $41.1 million as he turns 18 on Monday.","The summary is non-redundant with the corresponding article. 

Reasoning:
1. The summary mentions that the young actor, Daniel Radcliffe, has no plans to spend his money on fast cars, drink, and celebrity parties. This is mentioned in the article.
2. The summary states that Radcliffe will be able to gamble in a casino, buy a drink, and see the horror film ""Hostel: Part II"" when he turns 18. This is also mentioned in the article.
3. The summary mentions that Radcliffe's agent and publicist had no comment on his plans. This is stated in the article.
4. The summary mentions that Radcliffe's latest outing as the boy wizard is breaking records on both sides of the Atlantic. This is mentioned in the article.

Therefore, the summary is non-redundant with the article.","Step 1: The article mentions that Daniel Radcliffe turns 18 on Monday.
Step 2: The summary correctly states that Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune.
Step 3: The summary correctly mentions that Radcliffe's earnings from the first five Potter films have been held in a trust fund.
Step 4: The summary correctly states that details of how he'll mark his landmark birthday are under wraps.

The summary does not repeat any information from the article, so it is non-redundant. 

Answer: Yes","Yes

Reasoning:
- The summary accurately mentions that Daniel Radcliffe gains access to a reported £20 million fortune, which is mentioned in the article.
- The summary also accurately mentions that the young actor has no plans to fritter his cash away, which is stated by Radcliffe himself in the article.
- The summary mentions that Radcliffe's earnings from the first five Potter films have been held in a trust fund, which is also mentioned in the article."
"The summary is non-redundant with the corresponding article. 

Reasoning:
- The summary includes new information that is not mentioned in the article, such as Bush reclaiming presidential power after the procedure and the size of the polyps.
- The summary also includes information that is mentioned in the article, but in a different way. For example, the article mentions that Bush's last colonoscopy was in June 2002 and no abnormalities were found, while the summary states that the information was provided by White House spokesman Tony Snow.
- The summary does not repeat any information from the article.","The summary is non-redundant with the corresponding article. 

Reasoning:
- The first sentence of the summary states that Bush's last colonoscopy was in June 2002 and no abnormalities were found. This information is not repeated in the article.
- The second sentence of the summary mentions that Vice President Dick Cheney assumed presidential power at 9:21 a.m. on Saturday. This information is mentioned in the article.
- The third sentence of the summary states that Bush is in good humor and will resume his activities at Camp David. This information is mentioned in the article.
- The fourth sentence of the summary mentions that Laura Bush was celebrating her mother's birthday. This information is not repeated in the article.

Therefore, the summary is non-redundant with the corresponding article.","Yes

Reasoning:
The summary accurately states that five small polyps were removed from President Bush's colon and that the White House stated that none of them appeared worrisome. This information is mentioned in the first sentence of the article.","The summary is non-redundant with the article. 

Step by Step Reasoning:
1. The first sentence of the summary, ""none appeared worrisome,"" is a direct quote from the article.
2. The second sentence of the summary, ""president will resume his activities at Camp David,"" is a paraphrase of the information in the article that states President Bush is in good humor and will resume his activities at Camp David.
3. The third sentence of the summary, ""a colonoscopy is the most sensitive test for colon cancer, rectal cancer,"" is a general statement about colonoscopies that is not explicitly mentioned in the article, but is generally known information about the procedure.
4. None of the summary sentences repeat information from the article, making it non-redundant.","Yes

Reasoning:
- The summary accurately states that doctors removed five small polyps from President Bush's colon.
- The summary accurately states that the polyps were all small, less than a centimeter in diameter.
- The summary accurately states that Vice President Dick Cheney assumed presidential power during the procedure.
- The summary accurately states that Bush reclaimed presidential power at 9:21 a.m. after about two hours.
- The summary does not repeat any information from the article.","The summary is non-redundant with the corresponding article. 

Reasoning:
- The summary mentions that five small polyps were removed from President Bush's colon, which is mentioned in the article.
- The summary also mentions that the polyps did not appear worrisome, which is stated by the White House spokesman in the article.
- The summary states that Bush had a colonoscopy in June 2002, which is mentioned in the article.
- Lastly, the summary mentions that Bush had polyps removed during colonoscopies before becoming president, which is also mentioned in the article.

Therefore, all the information in the summary is non-redundant with the article."
"Yes

Reasoning:
- The summary mentions that Tomas Medina Caracas was a fugitive from a U.S. drug trafficking indictment, which is stated in the article.
- The summary mentions that he was a member of the high command of the Fuerzas Armadas Revolucionarias de Colombia, which is stated in the article.
- The summary mentions that the army's Rapid Response Force tracked him down at a FARC camp in the jungle in the south of the country, which is stated in the article.

Therefore, the summary is non-redundant with the corresponding article.","Step 1: 
The article states that Tomas Medina Caracas was a key rebel commander and fugitive from a U.S. drug trafficking indictment. This is mentioned in the summary.

Step 2:
The article also mentions that Medina Caracas was indicted in the United States along with two other FARC commanders in November 2002. This is also mentioned in the summary.

Step 3:
The article states that Medina Caracas commanded FARC's 16th Front in the southern departments of Vichada and Guainia. This is mentioned in the summary.

Step 4:
The article mentions that Medina Caracas is accused of conspiring to kidnap oil workers from Venezuela in 1997. This is mentioned in the summary.

Based on the above analysis, the summary is non-redundant with the corresponding article.","No, the summary is not non-redundant with the article. The summary only includes a partial sentence and does not provide any new information or context.","The summary is non-redundant with the corresponding article. The summary provides a brief overview of the key points mentioned in the article without repeating the same information. It mentions that ""El Negro Acacio"" was a member of the high command of the guerrilla encampment, he was charged with conspiracy to import cocaine into the United States, and he helped manage the group's cocaine trafficking network. These points are all mentioned in the article, but the summary presents them in a concise manner without repeating any specific details. Therefore, the answer is yes.","Reasoning:
- The summary mentions that Tomas Medina Caracas was a member of the high command of the FARC, which is mentioned in the article.
- The summary mentions that he was charged with conspiracy to import cocaine into the United States, which is mentioned in the article.
- The summary mentions that U.S. officials alleged he managed FARC's sales of cocaine to international drug traffickers, which is mentioned in the article.
- The summary mentions that FARC is Colombia's oldest, largest, most capable and best-equipped rebel group, which is mentioned in the article.

The summary includes all the main points from the article without any repetition. Therefore, it is non-redundant with the article.

Answer: Yes","Step 1: Analyze the article:
The article provides information about the death of Tomas Medina Caracas, a key rebel commander and fugitive from a U.S. drug trafficking indictment. It mentions that he was killed in an air attack on a guerrilla encampment and that he was alleged to have managed the FARC's cocaine trafficking network.

Step 2: Analyze the summary:
The summary accurately states that Tomas Medina Caracas was a fugitive from a U.S. drug trafficking indictment and that he was killed in an air attack on a guerrilla encampment. It also mentions that U.S. officials alleged he managed the FARC's cocaine trafficking network.

Step 3: Compare the summary with the article:
The summary does not repeat any information from the article. It includes key details about Tomas Medina Caracas, his death, and his alleged involvement in managing the FARC's cocaine trafficking network.

Conclusion: The summary is non-redundant with the corresponding article.

Answer: Yes"
"The summary is non-redundant with the corresponding article. 

Reasoning:
- The summary mentions that a 20-year-old AT4 anti-tank rocket launcher tube was found on the front lawn of a Jersey City, New Jersey, home, which is information also stated in the article.
- The summary also states that the launcher is no longer operable and not considered to be a hazard to public safety, which is information provided by the police in the article.
- Lastly, the summary mentions that Army officials could not determine if the launcher had been fired, but they should know once they find out where it came from. This information is also mentioned in the article. 

Therefore, the summary does not repeat any information from the article and is non-redundant.","Step 1: Identify the main points in the article.
- Niranjan Desai discovered an empty rocket launcher tube on her lawn in Jersey City, New Jersey.
- The launcher has been turned over to U.S. Army officials at the 754th Ordnance Company.
- The launcher is no longer operable and not considered a hazard to public safety.
- The origin of the rocket launcher and the circumstances that led to its appearance are being investigated by the FBI and Jersey City police.
- The nearest military base, Fort Dix, is more than 70 miles away.
- The launcher is a shoulder-fired, direct-fire weapon used against ground targets.
- It is a one-time-use device.
- It is not wire-guided and has a 40-inch-long fiberglass-wrapped tube that weighs 4 pounds.
- The missile it uses can penetrate 14 inches of armor from a maximum of 985 feet.

Step 2: Analyze the summary.
- The summary mentions Niranjan Desai discovering the rocket launcher tube and it being turned over to the U.S. Army officials. This aligns with the information in the article.
- The summary also mentions the launcher being turned over at least 70 miles from the nearest military base. This is accurate information from the article.
- However, the summary does not mention the investigation being conducted by the FBI and Jersey City police, the non-operability and safety of the launcher, the description of the launcher, and its one-time-use nature.

Step 3: Compare the main points of the article and the summary.
The summary only includes a partial mention of the main points in the article. It does not mention important details such as the investigation, the non-operability and safety of the launcher, and its description and one-time-use nature.

Step 4: Decide if the summary is non-redundant with the article.
No, the summary is not non-redundant with the article. It misses several key points and does not provide a complete summary of the article.","The summary is non-redundant with the corresponding article. It condenses the main information of the article, mentioning the discovery of an empty AT4 anti-tank rocket launcher tube on the front lawn of a home in New Jersey.","The summary is non-redundant with the corresponding article. 

1. The summary mentions that the 20-year-old AT4 anti-tank rocket launcher tube was found on the lawn, which is mentioned in the article.
2. The summary mentions that the device has been turned over to the 754th Ordnance Company, which is mentioned in the article.
3. The summary mentions that there is no indication the launcher had been fired recently, which is mentioned in the article.

Therefore, the summary does not repeat any information from the article and is non-redundant.","The summary is non-redundant with the corresponding article. 

Reasoning:
- The summary mentions the key details of the article, including the discovery of a rocket launcher tube on a front lawn in Jersey City, New Jersey, and the fact that it is a 20-year-old AT4 anti-tank rocket launcher tube, which is a one-time-use device.
- The summary also includes the information that the launcher is no longer operable and is not considered a hazard to public safety, which is mentioned in the article by the police.
- The summary does not repeat any additional information from the article.","The summary is non-redundant with the article. It includes new information about the launcher being turned over to U.S. Army officials at Fort Monmouth, New Jersey. It also provides information about the launcher being 20 years old and no longer operable. Finally, it mentions that the launcher is a shoulder-fired, direct-fire weapon used against ground targets. None of this information is repeated in the summary sentences."
"The summary is non-redundant with the article. 

Reasoning:
- The summary mentions that Carlos Alberto joins Werder Bremen for a club record fee, which is not mentioned in the article.
- The summary states that Carlos Alberto enjoyed success at FC Porto under Jose Mourinho, which is mentioned in the article.
- The summary mentions that Carlos Alberto scored in the Champions League final victory against Monaco in 2004, which is mentioned in the article.
- The summary mentions that Carlos Alberto has been on loan with his first club Fluminense since January of that year, which is mentioned in the article. 

Therefore, the summary does not repeat information from the article and is non-redundant. 
Yes.","The summary is redundant with the corresponding article. 

Step 1: The summary states that Carlos Alberto has joined Werder Bremen for a club record fee of 7.8 million euros, which is mentioned in the article.

Step 2: The summary mentions that Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004, which is also mentioned in the article.

Step 3: The summary states that Carlos Alberto is 22 years old, which is not mentioned in the article.

Step 4: The summary mentions that Carlos Alberto scored in the Champions League last year, which is not mentioned in the article.

Since the summary repeats information from the article, it is redundant. No.","The summary is non-redundant with the corresponding article. The summary mentions that Brazilian defender Carlos Alberto has signed for Bundesliga club Werder Bremen, which is the main information provided in the article. The summary does not repeat any other information from the article.","Yes

Reasoning:

- The summary states that Carlos Alberto joins Werder Bremen for a club record fee, which is mentioned in the article.
- The summary mentions that Carlos Alberto scored in FC Porto's Champions League final victory against Monaco in 2004, which is also mentioned in the article.
- The summary mentions that Carlos Alberto started his career with Fluminense and helped them lift the Campeonato Carioca in 2002, which is mentioned in the article.","1. The summary states that Carlos Alberto has joined Werder Bremen for a club record fee of $10.7 million. This information is mentioned in the article.
2. The summary mentions that Carlos Alberto scored in FC Porto's Champions League final victory in 2004. This information is also mentioned in the article.
3. The summary states that Carlos Alberto is the third top Brazilian player to join the German league in three days. This information is not mentioned in the article.

Based on the step by step analysis, the summary is non-redundant with the corresponding article.","Step 1: Analyzing the summary sentence ""Brazilian striker Carlos Alberto joins Werder Bremen from FC Porto.""
This sentence is non-redundant with the article because it provides new information about Carlos Alberto joining Werder Bremen from FC Porto.

Step 2: Analyzing the summary sentence ""The 22-year-old joins for a club record $10.7 million.""
This sentence is non-redundant with the article because it provides new information about the record fee that Carlos Alberto joined Werder Bremen for.

Step 3: Analyzing the summary sentence ""He has been on loan at Fluminense since January.""
This sentence is non-redundant with the article because it provides new information about Carlos Alberto being on loan at Fluminense since January.

Based on the analysis, the summary is non-redundant with the corresponding article."
"Step 1: Vice President Dick Cheney will serve as acting president briefly Saturday.
This information is mentioned in the article. 

Step 2: White House spokesman Tony Snow is undergoing chemotherapy for colon cancer.
This information is not mentioned in the article.

Step 3: Bush's last colonoscopy was in June 2002, and no abnormalities were found, White House says.
This information is mentioned in the article.

Step 4: Procedure is the most sensitive test for colorectal cancer, rectal cancer and polyps.
This information is mentioned in the article.

Based on the above analysis, the summary is redundant with the corresponding article as it repeats information that is already mentioned in the article.","1. The summary mentions that Bush's last colonoscopy was in June 2002 and no abnormalities were found. This information is mentioned in the article.
2. The summary mentions that Bush is scheduled to have the procedure, expected to take about 2 1/2 hours. This information is mentioned in the article.
3. The summary mentions that ""the president wants to encourage everybody to use surveillance."" This information is mentioned in the article.
4. The summary mentions that Bush is undergoing chemotherapy for cancer that began in his colon. This information is mentioned in the article.

Based on the above analysis, the summary is redundant with the corresponding article. 

No.","The given summary is incomplete and does not provide any new information beyond what is mentioned in the article. It only mentions that Dick Cheney will serve as acting president while President Bush has a colonoscopy, which is already stated in the article. Therefore, the summary is redundant with the article. No.","The summary is non-redundant with the article. 

Reasoning: 
- The summary mentions that the president's doctor recommended a repeat procedure in about five years, which is not mentioned in the article.
- The summary also mentions that a colonoscopy is the most sensitive test for colon cancer and rectal cancer, which is mentioned in the article but not in the same sentence structure.
- Lastly, the summary includes a quote from the spokesman saying that the president wants to encourage everybody to use surveillance, which is mentioned in the article but not in the same sentence structure.

Answer: Yes","The summary is non-redundant with the corresponding article. 

Reasoning:
- The summary accurately states that Vice President Dick Cheney will temporarily serve as acting president during President Bush's colonoscopy.
- The summary mentions the location of the colonoscopy, which is Camp David, Maryland.
- The summary acknowledges that no abnormalities were found during Bush's previous colonoscopy in June 2002.
- The summary includes the information that White House spokesman Tony Snow is undergoing chemotherapy for colon cancer.

Therefore, the summary does not repeat any information from the article and is non-redundant.","1. The summary includes the key information that President Bush will have a routine colonoscopy on Saturday. This information is mentioned in the article.
2. The summary also states that Vice President Dick Cheney will serve as acting president during this time. This information is mentioned in the article.
3. The summary mentions that Bush's last colonoscopy was in June 2002. This information is mentioned in the article.
4. The summary states that a colonoscopy is the most sensitive test for colon cancer, rectal cancer, and polyps. This information is mentioned in the article.
5. The summary does not include information about the location of the procedure (presidential retreat at Camp David) or the details of the medical team conducting the procedure. 

Based on this analysis, the summary is non-redundant with the corresponding article.

Answer: Yes"
"The summary is non-redundant with the corresponding article. 

Reasoning:
- The first sentence of the summary states that about 2,000 customers were without power in the San Francisco area, which is mentioned in the article.
- The second sentence of the summary mentions that the police received many calls of inquiry, with no injuries or damage reported. This is also mentioned in the article.
- The third sentence of the summary provides the same information as the article about the location of the earthquake.
- The fourth sentence of the summary states that the shaking lasted about 50 seconds, which is also mentioned in the article.

Therefore, the summary does not repeat any information from the article and is non-redundant.","Yes, the summary is non-redundant with the corresponding article. The summary provides new information about the magnitude of the earthquake, the number of customers without power, and the location and depth of the quake. These details are not repeated in the article.","Yes, the summary is non-redundant with the corresponding article. The summary provides a concise overview of the main information from the article, including the magnitude of the earthquake and the time it occurred in the San Francisco area. It does not repeat any specific details or quotes mentioned in the article.","Step 1: Identify the main points in the article:
- A magnitude 4.2 earthquake shook the San Francisco area at 4:42 a.m. PT.
- The quake left about 2,000 customers without power.
- A magnitude 4.2 earthquake is considered ""light"" and usually causes minimal damage.
- Quakes of this magnitude are felt indoors and may break dishes, windows, and overturn unstable objects.

Step 2: Compare the main points in the article with the summary:
- The summary includes the information about the power outage caused by the quake.
- The summary states that a magnitude 4.2 earthquake is considered ""light"" and usually causes minimal damage, which is mentioned in the article.
- The summary includes the information about the potential effects of a magnitude 4.2 earthquake.

Step 3: Determine if the summary repeats information from the article:
- The summary does repeat some information from the article, such as the power outage and the classification of a magnitude 4.2 earthquake as ""light.""
- However, the summary also includes additional information about the potential effects of the earthquake.

Based on this analysis, the summary is non-redundant with the corresponding article.","1. The first sentence of the summary states that about 2,000 customers were without power in the San Francisco area. This information is mentioned in the article.
2. The second sentence of the summary states that the quake was centered about two miles east-northeast of Oakland, at a depth of 3.6 miles. This information is mentioned in the article.
3. The third sentence of the summary states that Oakland is just east of San Francisco, across San Francisco Bay. This information is mentioned in the article.
4. The fourth sentence of the summary states that the shaking lasted about 50 seconds, according to CNN meteorologist Chad Myers. This information is mentioned in the article.

The summary does not repeat information from the article, so it is non-redundant.

Answer: Yes","Yes

Reasoning:
- The summary mentions that about 2,000 customers were left without power, which is not mentioned in the article.
- The summary includes a quote from a San Francisco police captain stating that the earthquake was ""fairly mild,"" which is not mentioned in the article.
- The summary states the location and depth of the earthquake, which is mentioned in the article."
"Step 1: The summary mentions that a suspect escaped immediately after the bomb exploded, which is not mentioned in the article. This is new information. 
Step 2: The summary also mentions that President Bouteflika stated that terrorist acts have nothing in common with the noble values of Islam, which is also new information not mentioned in the article. 
Step 3: The summary includes the information that the explosion occurred at 5 p.m. about 20 meters from a mosque in Batna, which is mentioned in the article. 
Step 4: The summary mentions that Algeria faces a continuing Islamic insurgency, according to the CIA, which is also mentioned in the article. 

Based on this analysis, the summary is non-redundant with the corresponding article. 

Answer: Yes","Step 1: Identify the main points in the article.
- A bomb explosion in Batna, Algeria killed 14 people and wounded 60 others.
- The explosion occurred near a mosque and happened 15 minutes before the expected arrival of President Abdel-Aziz Bouteflika.
- It is unclear if the bomb was caused by a suicide bomber or if it was planted.
- Algeria faces a continuing Islamic insurgency, according to the CIA.
- There was no immediate claim of responsibility for the bombing.

Step 2: Analyze the summary sentences.
- ""Algeria's Interior Minister Noureddine Yazid Zerhouni says."" This sentence does not provide any new information compared to the article.
- ""The bomb went off 15 minutes before the expected arrival of President Abdel-Aziz Bouteflika."" This sentence repeats information from the article.
- ""Algeria faces a continuing Islamic insurgency, the CIA says."" This sentence repeats information from the article.
- ""Algeria is facing a continued Islamic insurgency."" This sentence repeats information from the article.

Step 3: Determine if the summary sentences are non-redundant with the article.
Two out of the four summary sentences repeat information from the article. Therefore, the summary is redundant with the corresponding article.

Answer: No","Step 1: The article mentions that a bomb went off 15 minutes before the expected arrival of Algeria's president.
Step 2: The summary states that a bomb goes off 15 minutes before expected arrival of Algeria's president.

The summary is redundant with the corresponding article because it repeats information that is already mentioned. No.","The summary is non-redundant with the corresponding article. 
1. The summary states that at least 14 people were killed and 60 wounded, which is information provided in the article.
2. The summary mentions that the bomb went off 15 minutes before the expected arrival of President Abdel-Aziz Bouteflika, which is also mentioned in the article.
3. The summary indicates that it wasn't clear if the bomb was caused by a suicide bomber, which is information provided in the article. 

Therefore, the summary does not repeat any information from the article and is non-redundant. 
Yes.","Step 1: The summary includes the information that a suspect tried to go beyond the security cordon, which is not mentioned in the article. This makes the summary non-redundant with the article. 

Step 2: The summary includes the information that Bouteflika says terrorist acts have nothing in common with the noble values of Islam, which is not mentioned in the article. This makes the summary non-redundant with the article. 

Step 3: The summary includes the information that at least 14 people were killed and 60 others wounded in the attack in Batna, east of Algiers, which is mentioned in the article. This makes the summary redundant with the article. 

Step 4: The summary includes the information that there was no immediate claim of responsibility for the bombing, which is mentioned in the article. This makes the summary redundant with the article. 

Based on the reasoning above, the summary is partially redundant with the corresponding article. No.","Step 1: In the article, it is mentioned that a bomb went off 15 minutes before the expected arrival of President Bouteflika.
Step 2: The article also states that it wasn't clear if the bomb was caused by a suicide bomber or if it was planted.
Step 3: The article mentions that Algeria faces a continuing Islamic insurgency, according to the CIA.

The summary accurately captures the main points of the article without repeating information. Therefore, the answer is yes, the summary is non-redundant with the corresponding article."
"The summary is non-redundant with the article. 

Step 1: The summary mentions that David Beckham has begun a five-year contract with the Los Angeles Galaxy, which is mentioned in the article. 

Step 2: The summary mentions that Beckham has joined the Galacticos of Madrid, which is also mentioned in the article. 

Step 3: The summary states that Beckham will meet the press and reveal his new shirt number on Friday, which is mentioned in the article. 

Step 4: The summary mentions that CNN will look back at the life of Beckham, the talented youngster who fulfilled his dream of playing for Manchester United, which is also mentioned in the article. 

Since all the information in the summary is mentioned in the article, and there is no repetition of information, the summary is non-redundant. 

Answer: Yes","No. The summary repeats information from the article, such as Beckham's rise to football stardom and his partnerships with Reggie Bush and Motorola.","The summary is non-redundant with the article. The summary accurately states that David Beckham has signed a five-year contract with the Los Angeles Galaxy, which is mentioned in the article. It does not repeat any other information from the article.","The summary is non-redundant with the corresponding article. 

Reasoning: 
- The summary mentions that David Beckham has begun a five-year contract with the Los Angeles Galaxy team, which is mentioned in the article.
- The summary also mentions that this week, there will be an in-depth look at the life and times of Beckham, which is also mentioned in the article.
- Finally, the summary mentions that the in-depth look will explore what makes Beckham tick as a footballer, fashion icon, and global phenomenon, which aligns with the content of the article. 

Therefore, the summary does not repeat any information from the article and is non-redundant. 

Answer: Yes","The summary is non-redundant with the article because it does not repeat any information. It provides a brief overview of David Beckham's contract with the Los Angeles Galaxy, Beckham's rise to stardom, and a mention of the David Beckham academy in L.A. These points are all mentioned in the article but are not repeated in the summary. Therefore, the answer is yes.","Yes

Reasoning:
- The summary mentions that CNN's Becky Anderson is looking at the life and times of David Beckham, which is mentioned in the article.
- The summary mentions that David Beckham has begun a five-year contract with the Galaxy, which is mentioned in the article.
- The summary mentions that Anderson asks how Beckham and his family will adapt to life in Los Angeles, which is mentioned in the article."
"Step 1: Identify the main points in the article:
- Savers at Northern Rock lined up to empty their accounts after the bank was bailed out by the Bank of England.
- Customers have already withdrawn £1 billion since the bank's troubles were revealed.
- Shares in Northern Rock dropped up to 30 percent in Friday trading, affecting the European banking sector.

Step 2: Compare the main points in the summary to the main points in the article:
- Both the summary and the article mention that customers lined up to withdraw their accounts from Northern Rock.
- Both the summary and the article mention that customers have withdrawn £1 billion since the bank's troubles were revealed.
- Both the summary and the article mention that shares in Northern Rock dropped up to 30 percent in Friday trading, affecting the European banking sector.

Step 3: Determine if the summary is non-redundant with the article:
Based on the comparison in step 2, it can be concluded that the summary is redundant with the article. The summary sentences repeat the information already mentioned in the article.

Answer: No","Step 1: The article mentions that a lender was bailed out by the Bank of England after heavily slashing profit forecasts. 
Step 2: The summary includes the information that the lender was bailed out by the bank of england after heavily slashing profit forecasts. 
Step 3: The summary is redundant with the corresponding article. 

No","The summary is non-redundant with the corresponding article. It condenses the information by mentioning that savers at a leading UK mortgage bank lined up for a second day to empty their accounts, and it also mentions the name of the bank, Northern Rock.","Step 1: Identify the main points in the article
- Savers at a leading UK mortgage bank lined up to empty their accounts after the bank was bailed out by the Bank of England.
- The bank had heavily slashed profit forecasts.
- Customers ignored reassurances from the bank and the government.
- Customers have already withdrawn about £1 billion since the bank's troubles were revealed.
- Shares in the bank dropped up to 30 percent.
- The British Bankers' Association urged customers to remain calm.
- The finance minister stated that the Bank of England stepped in to stabilize the banking system.
- The bank's CEO mentioned that they had yet to draw on the emergency cash.

Step 2: Analyze the summary
- The summary mentions that the Bank of England bailed out the bank after heavily slashing profit forecasts, which is mentioned in the article.
- The summary states that customers lined up to withdraw cash from a leading mortgage bank, which is also mentioned in the article.
- The summary mentions that customers ignored reassurances from the bank and the government, which is mentioned in the article.

Step 3: Compare the summary to the article
The summary includes the main points of the article without repeating information. It condenses the information about the bank's financial troubles, customers lining up to withdraw cash, and their disregard for reassurances from the bank and the government.

The summary is non-redundant with the corresponding article.","Reasoning:
1. The summary states that savers at a leading UK mortgage bank lined up for a second day to empty their accounts. This is mentioned in the article.
2. The summary states that Northern Rock was bailed out by the Bank of England after slashing profit forecasts. This is mentioned in the article.
3. The summary states that shares in Northern Rock dropped up to 30 percent in Friday trading. This is mentioned in the article.
4. The summary states that the British Bankers' Association has urged customers to ""calm down"". This is mentioned in the article.

The summary accurately captures the main points of the article without repeating information. 

Answer: Yes","Step 1: Compare the first sentence of the summary with the article.
- The first sentence of the summary states: ""Savers at leading UK mortgage bank lined up for a second day to empty accounts.""
- The corresponding sentence in the article is: ""Long lines formed before counters opened at the Northern Rock building society, one of the UK's top five lenders, as worried customers ignored reassurances from the bank and the government.""

The first sentence of the summary is non-redundant with the corresponding article because it condenses the information about savers lining up to empty their accounts from the article.

Step 2: Compare the second sentence of the summary with the article.
- The second sentence of the summary states: ""Northern Rock was bailed out by the Bank of England after slashing profit forecasts.""
- The corresponding sentence in the article is: ""Savers at a leading UK mortgage bank lined up for a second day to empty their accounts Saturday, a day after the lender was bailed out by the Bank of England after heavily slashing profit forecasts.""

The second sentence of the summary is redundant with the corresponding article because it repeats the information about Northern Rock being bailed out by the Bank of England after slashing profit forecasts.

Step 3: Compare the third sentence of the summary with the article.
- The third sentence of the summary states: ""British Bankers' Association has urged customers to 'calm down.'""
- The corresponding sentence in the article is: ""The British Bankers' Association has urged customers to 'calm down,' according to the UK Press Association.""

The third sentence of the summary is non-redundant with the corresponding article because it condenses the information about the British Bankers' Association urging customers to ""calm down"" from the article.

Based on the step-by-step reasoning, the summary is non-redundant with the corresponding article."
